iter	Passed	Remaining
777	6589	1880
778	6598	1871
779	6606	1863
780	6614	1854
781	6622	1846
782	6630	1837
783	6639	1829
784	6647	1820
785	6655	1811
786	6663	1803
787	6672	1795
788	6680	1786
789	6689	1778
790	6697	1769
791	6706	1761
792	6713	1752
793	6721	1743
794	6729	1735
795	6738	1726
796	6747	1718
797	6755	1710
798	6764	1701
799	6772	1693
800	6781	1684
801	6790	1676
802	6798	1667
803	6806	1659
804	6815	1650
805	6823	1642
806	6831	1633
807	6840	1625
808	6849	1617
809	6857	1608
810	6866	1600
811	6874	1591
812	6883	1583
813	6891	1574
814	6900	1566
815	6908	1557
816	6917	1549
817	6926	1541
818	6934	1532
819	6942	1524
820	6950	1515
821	6959	1507
822	6967	1498
823	6976	1490
824	6984	1481
825	6993	1473
826	7001	1464
827	7009	1456
828	7017	1447
829	7025	1439
830	7033	1430
831	7042	1421
832	7050	1413
833	7058	1404
834	7067	1396
835	7075	1388
836	7083	1379
837	7091	1370
838	7100	1362
839	7108	1353
840	7116	1345
841	7124	1336
842	7133	1328
843	7141	1319
844	7149	1311
845	7157	1302
846	7165	1294
847	7173	1285
848	7182	1277
849	7190	1268
850	7198	1260
851	7207	1252
852	7215	1243
853	7223	1234
854	7232	1226
855	7240	1218
856	7249	1209
857	7256	1201
858	7264	1192
859	7273	1184
860	7281	1175
861	7290	1167
862	7298	1158
863	7306	1150
864	7315	1141
865	7323	1133
866	7331	1124
867	7339	1116
868	7347	1107
869	7356	1099
870	7364	1090
871	7371	1082
872	7380	1073
873	7388	1065
874	7397	1056
875	7404	1048
876	7413	1039
877	7421	1031
878	7429	1022
879	7438	1014
880	7446	1005
881	7455	997
882	7463	988
883	7471	980
884	7480	972
885	7489	963
886	7496	955
887	7505	946
888	7514	938
889	7522	929
890	7530	921
891	7538	912
892	7546	904
893	7555	895
894	7562	887
895	7570	878
896	7579	870
897	7587	861
898	7595	853
899	7603	844
900	7611	836
901	7619	827
902	7628	819
903	7636	810
904	7644	802
905	7653	794
906	7661	785
907	7670	777
908	7678	768
909	7686	760
910	7694	751
911	7703	743
912	7711	734
913	7719	726
914	7727	717
915	7735	709
916	7744	700
917	7752	692
918	7760	684
919	7768	675
920	7776	667
921	7785	658
922	7793	650
923	7802	641
924	7810	633
925	7818	624
926	7826	616
927	7835	607
928	7843	599
929	7851	591
930	7859	582
931	7868	574
932	7876	565
933	7884	557
934	7893	548
935	7901	540
936	7909	531
937	7917	523
938	7925	514
939	7934	506
940	7942	497
941	7950	489
942	7958	481
943	7966	472
944	7975	464
945	7983	455
946	7991	447
947	8000	438
948	8008	430
949	8016	421
950	8024	413
951	8033	405
952	8041	396
953	8050	388
954	8058	379
955	8067	371
956	8076	362
957	8084	354
958	8092	345
959	8100	337
960	8109	329
961	8117	320
962	8125	312
963	8134	303
964	8142	295
965	8150	286
966	8159	278
967	8167	269
968	8175	261
969	8183	253
970	8191	244
971	8199	236
972	8207	227
973	8216	219
974	8224	210
975	8232	202
976	8240	194
977	8248	185
978	8257	177
979	8265	168
980	8273	160
981	8281	151
982	8290	143
983	8298	134
984	8307	126
985	8315	118
986	8322	109
987	8331	101
988	8339	92
989	8348	84
990	8356	75
991	8364	67
992	8372	59
993	8381	50
994	8389	42
995	8397	33
996	8405	25
997	8414	16
998	8423	8
999	8431	0
